id,ISO 3166-1 alpha-3,historical,en,ru
mhl,MHL,0,Marshall Islands,Маршалловы Острова
mkd,MKD,0,North Macedonia,Северная Македония
mli,MLI,0,Mali,Мали
mlt,MLT,0,Malta,Мальта
mmr,MMR,0,Myanmar,Мьянма
mne,MNE,0,Montenegro,Черногория
mng,MNG,0,Mongolia,Монголия
mnp,MNP,0,Northern Mariana Islands,Северные Марианские острова
moz,MOZ,0,Mozambique,Мозамбик
mrt,MRT,0,Mauritania,Мавритания
msr,MSR,0,Montserrat,Монтсеррат
mtq,MTQ,0,Martinique,Мартиника
mus,MUS,0,Mauritius,Маврикий
mwi,MWI,0,Malawi,Малави
mys,MYS,0,Malaysia,Малайзия
myt,MYT,0,Mayotte,Майотта
nam,NAM,0,Namibia,Намибия
ncl,NCL,0,New Caledonia,Новая Каледония
ncp,,0,Northern Cyprus,Северный Кипр
ner,NER,0,Niger,Нигер
nfk,NFK,0,Norfolk Island,Остров Норфолк
nga,NGA,0,Nigeria,Нигерия
nic,NIC,0,Nicaragua,Никарагуа
niu,NIU,0,Niue,Ниуэ
nld,NLD,0,Netherlands,Нидерланды
nor,NOR,0,Norway,Норвегия
npl,NPL,0,Nepal,Непал
nru,NRU,0,Nauru,Науру
nzl,NZL,0,New Zealand,Новая Зеландия
omn,OMN,0,Oman,Оман
pak,PAK,0,Pakistan,Пакистан
pan,PAN,0,Panama,Панама
pcn,PCN,0,Pitcairn,Острова Питкэрн
per,PER,0,Peru,Перу
phl,PHL,0,Philippines,Филиппины
plw,PLW,0,Palau,Палау
png,PNG,0,Papua New Guinea,Папуа — Новая Гвинея
pol,POL,0,Poland,Польша
pri,PRI,0,Puerto Rico,Пуэрто-Рико
prk,PRK,0,North Korea,КНДР
prt,PRT,0,Portugal,Португалия
pry,PRY,0,Paraguay,Парагвай
pse,PSE,0,Palestinian Territory,Палестина
pyf,PYF,0,French Polynesia,Французская Полинезия
qat,QAT,0,Qatar,Катар
reu,REU,0,Réunion,Реюньон
rou,ROU,0,Romania,Румыния
rus,RUS,0,Russian Federation,Россия
