ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Name_RU
standard_western_armenian,Standard Western Armenian,,40.1897,44.4839,homs1234,hyw,западноармянский литературный
tocharian_a,Tocharian A,,39,83,tokh1242,xto,тохарский А
tocharian_b,Tocharian B,,41.65,82.9,tokh1243,txb,тохарский В
andronovo_aryan,Andronovo Aryan,,55.56153,90.01418,,,андроновский арийский
galatian,Galatian,,39.97122,32.87817,gala1252,xga,галатский
mitanni_indo_aryan,Mitanni Indo-Aryan,,36.84683,40.12033,,,митаннийский индоарийский
tsakhur,Tsakhur,,41.6523,46.9775,tsak1249,tkr,цахурский
archi,Archi,,41.9839,46.8127,arch1244,aqc,арчинский
kryz,Kryz,,41.1455,48.164,kryt1240,kry,крызский
budukh,Budukh,,41.1207,48.3233,budu1248,bdk,будухский
udi,Udi,,41.8818,46.9171,udii1243,udi,удинсткий
khinalug,Khinalug,,41.1777,48.1297,khin1240,kjj,хиналугский
bamana,Bamana,,12.9,-7.65,bamb1269,bam,бамана
kpelle,Kpelle,,7.75,-8.8167,kpel1252,kpe,кпелле
looma,Looma,,7.92,-10.8,loma1260; toba1269,lom; tob,лоома
dan,Dan,,7.27,-8.15,nucl1770,dnj,дан
kla_dan,Kla-Dan,,6.85,-5.3,klad1234,lda,кла-дан
guro,Guro,,7,-6.5,guro1248,goa,гуро
lappish,Lappish,,68.9099,22.9394,,,саамский
hill_mari,Hill Mari,,56.3333,46.5666,west2392,mrj,горномарийский
mator,Mator,,54.5666,100.5666,mato1250,mtm,маторский
chukchi,Chukchi,,67.6248,176.1767,chuk1273,ckt,чукотский
koryak,Koryak,,61.8561,168.6621,kory1246,kpy,корякский
kerek,Kerek,,62.5996,176.9183,kere1280,krk,керекский
itelmen,Itelmen,,57.1496,156.9012,itel1242,itl,ительменский
asiatic_eskimo,Asiatic Eskimo,,64.546,-173.128,cent2128,ess,азиатских эскимосов
sirenik_eskimo,Sirenik Eskimo,,64.4194,-173.9657,sire1246,ysr,сиреникских эскимосов
bering_strait_eskimo,Bering Strait Eskimo,,63.7444,-171.7242,,,эскимосов Берингова пролива
greenlandic,Greenlandic,,64.1666,-51.75,kala1399,kal,гренландский
aleut,Aleut,,52.2304,-174.1978,aleu1260,ale,алеутский
copper_island_aleut,Copper Island Aleut,,55.171,166.094,medn1235,mud,медновских алеутов
yukaghir,Yukaghir,,69.1654,15.4732,yuka1259,ykg; yux,юкагирский
old_novgorod,Old Novgorod,,58.52131,31.27104,novg1240,,древненовгородский
kurdari,Kurdari,,34.98481,70.62849,kurd1258,,курдари
ningalami,Ningalami,,34.978375,70.90901,nang1256,,нингалами
sawi,Sawi,,35.166757,71.461926,savi1242,sdg,сави
alanic,Alanic,,43.1778,44.81126,,xln,аланский
scythian,Scythian,,44.94169,34.1194,,xsc,скифский
wanji,Wanji,,38.38014,71.47309,,,ванджский
waneci,Waneci,,30.0501,67.8327,wane1241,wne,ванеци
sargulami,Sargulami,,37.00322,70.87064,,,саргулямский
khunsari,Khunsari,,33.36292,50.31487,khun1261,,хунсари
median,Median,,34.80002,48.51539,,xme,мидийский
sivandi,Sivandi,,30.08,52.92,siva1239,siy,сивенди
tajrishi,Tajrishi,,35.79589,51.43157,,,таджриши
vonishuni,Vonishuni,,33.98824,51.41069,,,вонишуни
zefrei,Zefrei,,32.80592,52.11667,zefr1234,,зефреи
carian,Carian,,37.203,28.182,cari1274,xcr,карийский
pisidian,Pisidian,,37.273,31.28,pisi1234,xps,писидийский
sidetic,Sidetic,,36.764,31.917,side1240,xsd,сидетский
