ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Name_RU
japanese,Japanese,,35.6833,139.6833,nucl1643,jpn,японский
kalmyk,Kalmyk,,46.2026,45.8239,kalm1244,,калмыцкий
korean,Korean,,36.9923,127.0548,kore1280,kor,корейский
manchu,Manchu,,48.0083,124.3542,manc1252,mnc,маньчжурский
moghol,Moghol,,34.3569,61.5875,mogh1245,mhj,могольский
mongolian,Mongolian,,47.9166,106.9166,mong1331,mon,монгольский
mongols_of_inner_mongolia,Mongols of Inner Mongolia,,40.8166,111.65,,,монголов Внутренней Монголии
monguor,Monguor,,36.4919,102.6452,huzh1238,mjg,монгорский
nanai,Nanai,,48.4767,135.094,nana1257,gld,нанайский
negidal,Negidal,,52.942,139.779,negi1245,neg,негидальский
oirat,Oirat,,49.1675,87.812,oira1262,xal,ойратский
old_japanese,Old Japanese,,35.0166,135.75,oldj1239,ojp,старояпонский
oroch,Oroch,,49.1781,139.7625,oroc1248,oac,орочский
orok,Orok,,52.3437,143.0557,orok1265,oaa,орокский
pao_an,Pao-an,,35.7102,102.8889,bona1250,peh,баоаньский
santa,Dongxiang,,36.0333,103.8,dong1285,sce,дунсянский
shira_yugur,East Yugur,,39.1002,99.2065,east2337,yuy,шира югуров
solon,Solon,,48.166,119.4873,solo1263,,солонский
udihe,Udihe,,47.6209,136.0903,udih1248,ude,удэгейский
ulch,Ulch,,52.0457,140.4162,ulch1241,ulc,ульчский
written_mongolian,Written Mongolian,,48.2,110.006,midd1351,xng,старописьменный монгольский
belorussian,Belarusian,,53.9166,27.55,bela1254,bel,белорусский
bulgarian,Bulgarian,,42.7,23.3333,bulg1262,bul,болгарский
czech,Czech,,50.0886,14.4213,czec1258,ces,чешский
kashubian,Kashubian,,54.2267,18.1713,kash1274,csb,кашубский
macedonian,Macedonian,,41.9833,21.4333,mace1250,mkd,македонский
old_church_slavonic,Old Church Slavonic,,41.1391,22.5025,chur1257,chu,старославянский
old_russian,Old Russian,,50.4438,30.5784,oldr1238,orv,древнерусский
polabian,Polabian,,52.9666,11.15,pola1255,pox,полабский
polish,Polish,,52.2166,21.0333,poli1260,pol,польский
russian,Russian,,55.7558,37.6176,russ1263,rus,русский
serbocroatian,Serbocroatian,,44.8205,20.4622,sout1528,hbs,сербохорватский
slovak,Slovak,,48.1447,17.1127,slov1269,slk,словацкий
slovene,Slovene,,46.05,14.5166,slov1268,slv,словенский
sorbian,Sorbian,,51.5001,14.7444,sorb1249,dsb; hsb,серболужицкий
ukrainian,Ukrainian,,50.45,30.5,ukra1253,ukr,украинский
latvian,Latvian,,56.9421,24.162,latv1249,lav,латышский
lithuanian,Lithuanian,,54.6775,25.3382,lith1251,lit,литовский
prussian,Prussian,,54.7319,20.4971,prus1238,prg,прусский
akkadian,Akkadian,,33.1,44.1,akka1240,akk,аккадский
ancient_hebrew,Ancient Hebrew,,31.7833,35.2333,anci1244,hbo,древнееврейский
classical_mandaic,Classical Mandaic,,33.0479,44.3137,clas1253,myz,классический мандейский
classical_syriac,Classical Syriac,,36,43.3,clas1252,syc,классический сирийский
jewish_palestinian_aramaic,Jewish Palestinian Aramaic,,31.6253,35.1453,pale1261,jpa,иудейско-палестинский арамейский
modern_hebrew,Modern Hebrew,,31.775,35.2884,hebr1245,heb,современный иврит
neo_aramaic_of_maalula,Neo-Aramaic of Maalula,,33.8358,36.6016,west2763,amw,маалулы
neo_mandaic,Neo-Mandaic,,35.6892,51.3889,nucl1706,mid,новомандейский
official_aramaic,Official Aramaic,,32.5364,44.4208,olda1245,oar,имперский арамейский
phoenician,Phoenician,,32,35,phoe1239,phn,финикийский
turoyo,Turoyo,,37.4,41.4833,turo1239,tru,туройо
ugaritic,Ugaritic,,35.6003,35.7987,ugar1238,uga,угаритский
