id,type,is_extinct,is_multiple,name_en,name_ru,custom_title_en,custom_title_ru,family_id,iso_639_3,glottocode,latitude,longitude,main_country_id,encyclopedia_volume_id,page,encyclopedia_map_id,has_feature_profile,comment
old_uighur,language,1,0,Old Uighur,древнеуйгурский,,,karluk,oui,oldu1238,47.4311,102.6594,mng,2,54,,1,
orkhon_yenisei_inscriptions,language,1,0,Orkhon-Yenisei inscriptions,орхоно-енисейских надписей,,,old_turk,,,47.2833,102.5605,mng,2,89,,1,
polovets,language,1,0,Polovets,половецкий,,,kipchak_cuman,qwm,,46.9069,19.6933,hun,2,110,,1,
salar,language,0,0,Salar,саларский,,,karluk,slr,sala1264,36.2752,102.4584,chn,2,335,,1,
saryg_yugur,language,0,0,Western Yugur,сарыг-югурский,,,khak_turk,ybe,west2402,35.889,119.3554,chn,2,345,,1,
shor,language,0,0,Shor,шорский,,,khak_turk,cjs,shor1247,53.0544,87.7478,rus,2,497,,1,
tatar,language,0,0,Tatar,татарский,,,kipchak_bulgar,tat,tata1255,41.3438,48.6254,aze,2,357,,1,
tofalar,language,0,0,Tofa,тофаларский,,,sayan_turk,kim,kara1462,53.7324,98.2589,rus,2,372,,1,
turki,language,1,0,Turki,тюрки,,,karluk,,,37.7108,68.8311,tjk,2,126,,1,
turkish,language,0,0,Turkish,турецкий,,,oghuz_turk,tur,nucl1301,39.8666,32.8666,tur,2,394,,1,
turkmen,language,0,0,Turkmen,туркменский,,,oghuz_turk,tuk,turk1304,37.95,58.3833,tjk,2,412,,1,
tuvan,language,0,0,Tuvan,тувинский,,,sayan_turk,tyv,tuvi1240,51.7166,94.45,rus,2,384,,1,
uighur,language,0,0,Uighur,уйгурский,,,karluk,uig,uigh1240,43.8,87.5833,chn,2,437,,1,
uzbek,language,0,0,Uzbek,узбекский,,,karluk,uzb,uzbe1247,41.3,69.2666,uzb,2,426,,1,
yakut,language,0,0,Yakut,якутский,,,yakut_turk,sah,yaku1245,62.0333,129.7333,rus,2,513,,1,
buryat,language,0,0,Buryat,бурятский,,,mongol,bua,buri1258,51.8333,107.6167,rus,3,37,,1,
dagur,language,0,0,Dagur,дагурский,,,mongol,dta,daur1238,47.9163,124.1235,chn,3,51,,1,
even,language,0,0,Even,эвенский,,,north_tung,eve,even1260,67.6593,134.6594,rus,3,284,,1,
evenki,language,0,0,Evenki,эвенкийский,,,north_tung,evn,even1259,51.9833,116.5833,rus,3,267,,1,
japanese,language,0,0,Japanese,японский,,,japon,jpn,nucl1643,35.6833,139.6833,jpn,3,324,,1,
kalmyk,language,0,0,Kalmyk,калмыцкий,,,mongol,,kalm1244,46.2026,45.8239,rus,3,73,,1,
korean,language,0,0,Korean,корейский,,,isolate,kor,kore1280,36.9923,127.0548,kor,3,361,,1,
manchu,language,0,0,Manchu,маньчжурский,,,south_tung,mnc,manc1252,48.0083,124.3542,chn,3,162,,1,
moghol,language,1,0,Moghol,могольский,,,mongol,mhj,mogh1245,34.3569,61.5875,afg,3,91,,1,
mongolian,language,0,0,Mongolian,монгольский,,,mongol,mon,mong1331,47.9166,106.9166,mng,3,108,,1,
mongols_of_inner_mongolia,language,0,0,Mongols of Inner Mongolia,монголов Внутренней Монголии,,,mongol,,,40.8166,111.65,chn,3,98,,1,
monguor,language,0,0,Monguor,монгорский,,,mongol,mjg,huzh1238,36.4919,102.6452,chn,3,124,,1,
nanai,language,0,0,Nanai,нанайский,,,south_east_tung,gld,nana1257,48.4767,135.094,rus,3,173,,1,
negidal,language,0,0,Negidal,негидальский,,,north_tung,neg,negi1245,52.942,139.779,rus,3,188,,1,
oirat,language,0,0,Oirat,ойратский,,,mongol,,oira1262,49.1675,87.812,chn,3,132,,1,
old_japanese,language,1,0,Old Japanese,старояпонский,,,japon,ojp,oldj1239,35.0166,135.75,jpn,3,305,,1,
oroch,language,0,0,Oroch,орочский,,,south_east_tung,oac,oroc1248,49.1781,139.7625,rus,3,215,,1,
orok,language,0,0,Orok,орокский,,,south_east_tung,oaa,orok1265,52.3437,143.0557,rus,3,201,,1,
pao_an,language,0,0,Pao-an,баоаньский,,,mongol,peh,bona1250,35.7102,102.8889,chn,3,29,,1,
santa,language,0,0,Dongxiang,дунсянский,,,mongol,sce,dong1285,36.0333,103.8,chn,3,60,,1,
shira_yugur,language,0,0,East Yugur,шира югуров,,,mongol,yuy,east2337,39.1002,99.2065,chn,3,148,,1,
solon,language,0,0,Solon,солонский,,,north_tung,,solo1263,48.166,119.4873,chn,3,226,,1,
udihe,language,0,0,Udihe,удэгейский,,,south_east_tung,ude,udih1248,47.6209,136.0903,rus,3,236,,1,
ulch,language,0,0,Ulch,ульчский,,,south_east_tung,ulc,ulch1241,52.0457,140.4162,rus,3,248,,1,
written_mongolian,language,1,0,Written Mongolian,старописьменный монгольский,,,mongol,xng,midd1351,40.8166,111.65,chn,3,18,,1,
belorussian,language,0,0,Belarusian,белорусский,,,east_slav,bel,bela1254,53.9166,27.55,blr,13,576,"13-1, 13-9, 13-10",1,
bulgarian,language,0,0,Bulgarian,болгарский,,,south_east_slav,bul,bulg1262,42.7,23.3333,bgr,13,76,"13-1, 13-3, 13-10",1,
czech,language,0,0,Czech,чешский,,,czech_slovak,ces,czec1258,50.0886,14.4213,cze,13,250,"13-1, 13-6",1,
kashubian,language,0,0,Kashubian,кашубский,,,lechit,csb,kash1274,54.2267,18.1713,pol,13,410,"13-1, 13-8",1,
macedonian,language,0,0,Macedonian,македонский,,,south_east_slav,mkd,mace1250,41.9833,21.4333,mkd,13,114,"13-1, 13-3",1,
old_church_slavonic,language,1,0,Old Church Slavonic,старославянский,,,south_east_slav,chu,chur1257,41.1391,22.5025,mkd,13,36,13-2,1,
old_russian,language,1,0,Old Russian,древнерусский,,,east_slav,orv,oldr1238,50.4438,30.5784,ukr,13,449,"13-2, 13-11",1,
polabian,language,1,0,Polabian,полабский,,,lechit,pox,pola1255,52.9666,11.15,deu,13,433,,1,
polish,language,0,0,Polish,польский,,,lechit,pol,poli1260,52.2166,21.0333,pol,13,373,"13-1, 13-8",1,
russian,language,0,0,Russian,русский,,,east_slav,rus,russ1263,55.7558,37.6176,rus,13,476,"13-1, 13-9, 13-10",1,
serbocroatian,language,0,0,Serbocroatian,сербохорватский,,,south_west_slav,hbs,sout1528,44.8205,20.4622,srb,13,151,"13-1, 13-3, 13-4, 13-5",1,
slovak,language,0,0,Slovak,словацкий,,,czech_slovak,slk,slov1269,48.1447,17.1127,svk,13,293,"13-1, 13-6",1,
slovene,language,0,0,Slovene,словенский,,,south_west_slav,slv,slov1268,46.05,14.5166,svn,13,212,"13-1, 13-5",1,
sorbian,language,0,0,Sorbian,серболужицкий,,,sorb,"dsb, hsb",sorb1249,51.5001,14.7444,deu,13,329,13-1,1,
ukrainian,language,0,0,Ukrainian,украинский,,,east_slav,ukr,ukra1253,50.45,30.5,ukr,13,541,"13-1, 13-10",1,
latvian,language,0,0,Latvian,латышский,,,balt,lav,latv1249,56.9421,24.162,lva,14,155,"14-1-1, 14-2, 14-3",1,
lithuanian,language,0,0,Lithuanian,литовский,,,balt,lit,lith1251,54.6775,25.3382,ltu,14,93,"14-1-2, 14-2, 14-3",1,
prussian,language,1,0,Prussian,прусский,,,balt,prg,prus1238,54.7319,20.4971,rus,14,50,"14-2, 14-3",1,
akkadian,language,1,0,Akkadian,аккадский,,,east_sem,akk,akka1240,33.1,44.1,irq,15,109,"15-2, 15-3, 15-4",1,
ancient_hebrew,language,1,0,Ancient Hebrew,древнееврейский,,,canaan,hbo,anci1244,31.7833,35.2333,isr,15,292,"15-6, 15-8",1,
classical_mandaic,language,1,0,Classical Mandaic,классический мандейский,,,aram,myz,clas1253,33.0479,44.3137,irq,15,622,15-9,1,
classical_syriac,language,1,0,Classical Syriac,классический сирийский,,,aram,syc,clas1252,36,43.3,irq,15,558,15-9,1,
jewish_palestinian_aramaic,language,1,0,Jewish Palestinian Aramaic,иудейско-палестинский арамейский,,,aram,jpa,pale1261,31.6253,35.1453,isr,15,527,15-9,1,
modern_hebrew,language,0,0,Modern Hebrew,современный иврит,,,canaan,heb,hebr1245,31.775,35.2884,isr,15,371,"15-1, 15-10",1,
neo_aramaic_of_maalula,language,0,0,Neo-Aramaic of Maalula,маалулы,,,neo_aram,amw,west2763,33.8358,36.6016,syr,15,701,15-10,1,
neo_mandaic,language,0,0,Neo-Mandaic,новомандейский,,,neo_aram,mid,nucl1706,35.6892,51.3889,irn,15,689,15-10,1,
official_aramaic,language,1,0,Official Aramaic,имперский арамейский,,,aram,oar,olda1245,32.5364,44.4208,irq,15,492,"15-5, 15-8",1,
phoenician,language,1,0,Phoenician,финикийский,,,canaan,phn,phoe1239,32,35,isr,15,274,"15-6, 15-7",1,
turoyo,language,0,0,Turoyo,туройо,,,neo_aram,tru,turo1239,37.4,41.4833,tur,15,747,"15-11, 15-12",1,
ugaritic,language,1,0,Ugaritic,угаритский,,,north_sem,uga,ugar1238,35.6003,35.7987,syr,15,201,15-4,1,
afrikaans,language,0,0,Afrikaans,африкаанс,,,south_germ,afr,afri1274,-25.7256,28.2438,zaf,10,87,10-1,1,
danish,language,0,0,Danish,датский,,,north_germ,"dan, jut","dani1285, juti1236",55.6869,12.5833,dnk,10,127,"10-1, 10-2",1,
dutch,language,0,0,Dutch,нидерландский,,,south_germ,nld,dutc1256,52.3833,4.9,nld,10,272,"10-1, 10-2",1,
english,language,0,0,English,английский,,,anglo_fris,eng,stan1293,51.5,0,gbr,10,43,"10-1, 10-2",1,
faroese,language,0,0,Faroese,фарерский,,,north_germ,fao,faro1244,62,-6.7833,dnk,10,328,10-2,1,
frisian,language,0,0,Frisian,фризский,,,anglo_fris,"fry, frr, stq","west2354, nort2626, sate1242",53.0333,6.3166,nld,10,335,10-2,1,
german,language,0,0,German,немецкий,,,south_germ,deu,stan1295,52.5166,13.3833,deu,10,216,"10-1, 10-2",1,
gothic,language,1,0,Gothic,готский,,,east_germ,got,goth1244,44.4167,12.02,ita,10,101,,1,
icelandic,language,0,0,Icelandic,исландский,,,north_germ,isl,icel1247,64.23,-21.8266,isl,10,170,10-1,1,
luxembourgian,language,0,0,Luxembourgian,люксембургский,,,south_germ,ltz,luxe1241,49.6071,6.1248,lux,10,198,10-2,1,
norwegian,language,0,0,Norwegian,норвежский,,,north_germ,nor,norw1258,59.9333,10.6833,nor,10,300,"10-1, 10-2",1,
swedish,language,0,0,Swedish,шведский,,,north_germ,swe,swed1254,60.0986,19.9444,swe,10,349,10-2,1,
swiss_german,dialect,0,0,Swiss German,швейцарско-немецкий,,,south_germ,gsw,swis1247,47.05,8.46,che,10,380,10-2,1,
yiddish,language,0,0,Yiddish,идиш,,,south_germ,yid,yidd1255,53.3571,25.2465,blr,10,150,"10-1, 10-2",1,
dari,language,0,0,Dari,дари,,,south_west_iran,prs,dari1249,31.8402,54.1625,irn,5,,5-1,1,
davani,dialect,0,0,Davani,давани,,,south_west_iran,,dava1250,29.702740743759385,51.67466630895686,irn,5,,,1,
hazaragi,language,0,0,Hazaragi,хазара,,,south_west_iran,haz,haza1239,34.8166,67.8166,afg,5,,5-1,1,
kumzari,language/dialect,0,0,Kumzari,кумзари,,,south_west_iran,zum,kumz1235,26.16,56.42,omn,5,,5-1,1,
kurdshuli,language/dialect,0,0,Kurdshuli,курдшули,,,south_west_iran,,,30.65308656467516,52.672619742742995,irn,5,,,1,
middle_persian,language,1,0,Middle Persian,среднеперсидский,,,south_west_iran,pal,pahl1241,29.608,52.5247,irn,5,,,1,
old_persian,language,1,0,Old Persian,древнеперсидский,,,south_west_iran,peo,oldp1254,29.6081,52.5247,irn,5,,,1,
persian,language,0,0,Persian,персидский,,,south_west_iran,"fas, pes",west2369,35.7,51.4166,irn,5,,5-1,1,
tajik,language,0,0,Tajik,таджикский,,,south_west_iran,tgk,taji1245,38.5677,68.7936,tjk,5,,5-1,1,
tati,language,0,0,Tati,татский,,,south_west_iran,ttt,musl1236,41.3438,48.6254,aze,5,,5-1,1,
abdui,dialect,0,0,Abdui,абдуи,,,north_west_iran,,,29.599167,51.863056,irn,6,85,,1,
aftari,language/dialect,0,0,Aftari,афтари,,,north_west_iran,,afta1234,35.36,53.70,irn,6,164,,1,
balochi,language,0,0,Balochi,белуджский,,,north_west_iran,bal,"east2304, sout2642, west2368",30.36,67.02,pak,6,28,5-1,1,
biyabuneki,language/dialect,0,0,Biyabuneki,биябунеки,,,north_west_iran,,biya1234,35.53,53.29,irn,6,162,,1,
farizandi,dialect,0,0,Farizandi,фаризанди,,,north_west_iran,,fari1234,33.46,51.95,irn,6,202,,1,
gilaki,language,0,0,Gilaki,гилянский,,,north_west_iran,glk,gila1241,37.2755,49.6028,irn,6,112,5-1,1,
gurani,language,0,0,Gurani,гурани,,,north_west_iran,hac,gura1251,35.4259,46.2551,irn,6,77,5-1,1,
jawshakani,dialect,0,0,Jawshakani,джавшакани,,,north_west_iran,,jows1234,33.99,51.40,irn,6,218,,1,
keshei,dialect,0,0,Keshei,кешеи,,,north_west_iran,,kesh1234,33.23,51.47,irn,6,210,,1,
kohrudi,dialect,0,0,Kohrudi,кохруди,,,north_west_iran,,qohr1234,34.380556527627064,51.34338131723769,irn,6,207,,1,
kurdish,language,0,0,Kurdish,курдский,,,north_west_iran,kur,kurd1259,36.1833,44,irq,6,56,5-1,1,
lasgerdi,language/dialect,0,0,Lasgerdi,ласгерди,,,north_west_iran,lsa,lasg1238,35.40,53.00,irn,6,158,,1,
mazanderani,language,0,0,Mazanderani,мазандеранский,,,north_west_iran,mzn,maza1291,36.24,52.30,irn,6,125,5-1,1,
meimei,dialect,0,0,Meimei,меймеи,,,north_west_iran,,meym1234,35.34,53.24,irn,6,214,,1,
sangesari,language/dialect,0,0,Sangesari,сангесари,,,north_west_iran,sgr,sang1315,35.72,53.30,irn,6,166,,1,
semnani,language,0,0,Semnani,семнанский,,,north_west_iran,smy,semn1251,35.5769,53.3953,irn,6,144,,1,
shamerzadi,language/dialect,0,0,Shamerzadi,шамерзади,,,north_west_iran,srz,shah1253,35.78,53.32,irn,6,135,5-1,1,
surkhei,language/dialect,0,0,Surkhei,сурхеи,,,north_west_iran,,sork1240,35.46,53.22,irn,6,153,,1,
talysh,language,0,0,Talysh,талышский,,,north_west_iran,tly,taly1247,38.814,48.6804,aze,6,89,5-1,1,
velatru,language/dialect,0,0,Velatru,велатру,,,north_west_iran,,vela1234,36.07966135960555,51.38127560866207,irn,6,141,5-1,1,
yarandi,dialect,0,0,Yaran(d)i,яран(д)и,,,north_west_iran,,yara1255,32.57650811398008,52.430019336530954,irn,6,198,,1,
yazdi_and_kermani,language/dialect,0,1,Yazdi and Kermani,йезди и кермани,,,north_west_iran,,jude1275,30.399558152331394,57.14898823605028,irn,6,184,,1,
zaza,language,0,0,Zaza,заза,,,north_west_iran,zza,zaza1246,39,41,tur,6,73,5-1,1,
abaza,language,0,0,Abaza,абазинский,,,abazgi,abq,abaz1241,44.1556,41.9368,rus,9,,9-2,1,
abkhaz,language,0,0,Abkhaz,абхазский,,,abazgi,abk,abkh1244,43.133,40.8471,rus,9,,9-2,1,
adyghe,language,0,0,Adyghe,адыгейский,,,circas,ady,adyg1241,44.9181,39.7485,rus,9,,9-2,1,
agul,language,0,0,Aghul,агульский,,,lezg,agx,aghu1253,41.7518,47.6875,rus,9,,"9-1, 9-2",1,
akhvakh,language,0,0,Akhvakh,ахвахский,,,andi,akv,akhv1239,42.472,46.3238,rus,9,,"9-1, 9-2",1,
andi,language,0,0,Andi,андийский,,,andi,ani,andi1255,42.7308,46.2963,rus,9,,"9-1, 9-2",1,
avar,language,0,0,Avar,аварский,,,avar_andi,ava,avar1256,42.4801,46.8017,rus,9,,"9-1, 9-2",1,
bagvalal,language,0,0,Bagvalal,багвалинский,,,andi,kva,bagv1239,42.5247,46.192,rus,9,,"9-1, 9-2",1,
bats,language,0,0,Bats,бацбийский,,,nakh,bbl,bats1242,42.0982,45.0878,geo,9,,9-2,1,
bezhta,language,0,0,Bezhta,бежтинский,,,tsez,kap,bezh1248,42.1369,46.1508,rus,9,,"9-1, 9-2",1,
botlikh,language,0,0,Botlikh,ботлихский,,,andi,bph,botl1242,42.6602,46.2222,rus,9,,"9-1, 9-2",1,
chamalal,language,0,0,Chamalal,чамалинский,,,andi,cji,cham1309,42.5712,46.0739,rus,9,,"9-1, 9-2",1,
chechen,language,0,0,Chechen,чеченский,,,nakh,che,chec1245,43.3166,45.7,rus,9,,9-2,1,
dargwa,language,0,0,Dargwa,даргинский,,,darg,dar,darg1241,42.3205,47.5306,rus,9,,"9-1, 9-2",1,
georgian,language,0,0,Georgian,грузинский,,,south_kartv,kat,nucl1302,41.7167,44.8,geo,9,,9-2,1,
ginukh,language,0,0,Hinuq,гинухский,,,tsez,gin,hinu1240,42.1801,45.977,rus,9,,"9-1, 9-2",1,
godoberi,language,0,0,Godoberi,годоберинский,,,andi,gdo,ghod1238,42.5915,46.3376,rus,9,,"9-1, 9-2",1,
hunzib,language,0,0,Hunzib,гунзибский,,,tsez,huz,hunz1247,42.1654,46.2991,rus,9,,"9-1, 9-2",1,
ingush,language,0,0,Ingush,ингушский,,,nakh,inh,ingu1240,43.145,45.1043,rus,9,,9-2,1,
kabardian,language,0,0,Kabardian,кабардинский,,,circas,kbd,kaba1278,43.7393,43.4289,rus,9,,9-2,1,
karata,language,0,0,Karata,каратинский,,,andi,kpt,kara1474,42.5911,46.3374,rus,9,,"9-1, 9-2",1,
khvarshi,language,0,0,Khvarshi,хваршинский,,,tsez,khv,khva1239,42.3417,46.1212,rus,9,,"9-1, 9-2",1,
lak,language,0,0,Lak,лакский,,,north_east_cauc,lbe,lakk1252,42.0125,47.2521,rus,9,,"9-1, 9-2",1,
laz,language,0,0,Laz,лазский,,,south_kartv,lzz,lazz1240,41.2736,41.2646,geo,9,,9-2,1,
lezgian,language,0,0,Lezgian,лезгинский,,,lezg,lez,lezg1247,41.4921,48.0541,rus,9,,"9-1, 9-2",1,
mingrelian,language,0,0,Mingrelian,мегрельский,,,south_kartv,xmf,ming1252,42.4599,41.7205,tur,9,,9-2,1,
rutul,language,0,0,Rutul,рутульский,,,lezg,rut,rutu1240,41.5332,47.3181,rus,9,,"9-1, 9-2",1,
svan,language,0,0,Svan,сванский,,,north_kartv,sva,svan1243,42.9164,43.0114,geo,9,,9-2,1,
tabasaran,language,0,0,Tabasaran,табасаранский,,,lezg,tab,taba1259,41.8081,47.9882,rus,9,,"9-1, 9-2",1,
tindi,language,0,0,Tindi,тиндинский,,,andi,tin,tind1238,42.466,46.1453,rus,9,,"9-1, 9-2",1,
tsez,language,0,0,Tsez,цезский,,,tsez,ddo,dido1241,42.2376,45.8734,rus,9,,"9-1, 9-2",1,
